text,label
Shut down all Visalia Unified School District Schools to prevent Corona Virus,pro-mitigation
Allow Fall Advantage participants to arrive for the Fall program.,unclear
Opt-In and Implement AB 626 in Orange County,unclear
PM Modi: Tell Indian Men to Do an Equal Share of Household Chores in Your Next Speech,unclear
No More Live Markets - make the difference,pro-mitigation
Amend order to allow JCPD officers to wear BDU's during PANDEMIC!,pro-mitigation
Reopen Gyms To Help Combat COVID-19,anti-mitigation
Mississippi State University students want the option for classes to be Pass/Fail,unclear
Covid-19:   Salud a través del ejercicio!,unclear
Cancel Alberta Diploma Examinations,unclear
"Stop the barbaric wolf cull & poisoning in NWT, BC and AB",unclear
SAVE THE NORTHCOTE PUBLIC GOLF COURSE,anti-mitigation
"$2,000/month for Each Adult and $1,000/month for Each Child during COVID-19 crisis",pro-mitigation
Save Maryland Restaurants,unclear
"Halt Rent, Mortgage, and Utility Payments During COVID-19 Outbreak",unclear
Take back the decision to end the relationship with the Chinese scholars who fund by CSC,anti-mitigation
Luxury Escapes to Honour Refund Policy Amidst COVID-19 Pandemic,unclear
Postpone JEE & NEET to the end of 2020,pro-mitigation
The beauty industry - financial support & operational clarity from government & insurers,unclear
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,pro-mitigation
Protect Hanover community from Wegmans,unclear
AMPLIACION DE LA BECA CONTINUIDAD DE ESTUDIOS I - II Convocatoria. BECA PRONABEC,unclear
Luton mayor and councillors in breach of lockdown rules to resign,pro-mitigation
Fast food restaurants to print vehicle reg on takeaway packaging to discourage littering.,unclear
Allow Donna Kay Rule to compete in the NFR!,anti-mitigation
SHUTDOWN BROWARD COUNTY,pro-mitigation
School Stays ON !,anti-mitigation
Cancel the 2020-2021 school year SOLs,unclear
Make Covid duty for final MBBS students voluntary,unclear
Hazard Pay For Essential Workers,unclear
"ICMR JRF 2020 ,DBT BET JRF 2020 and GATB 2020 got postponed now",pro-mitigation
Close All Wildlife Trading Markets Globally,pro-mitigation
Demand that Micro-Businesses be priority to financial assistance for US COVID-19 relief!,pro-mitigation
Allow EBT recipients to order groceries online during COVID-19 pandemic and beyond.,pro-mitigation
UT AUSTIN NEEDS TO CONTACT ALL RESIDENTS AND STAFF WHEN COVID-19 CASES EMERGE,unclear
Varsity College must decrease their school fees by 35% because of the COVID 19 pandemic,unclear
Demand Johns Hopkins Protect its Graduate Employees amid COVID-19,pro-mitigation
Allow medical schools to proctor board exams to combat scheduling issues due to COVID-19.,pro-mitigation
Lift Restrictions for New Brunswickers Travelling to Nova Scotia,anti-mitigation
University and College tuition reduction in Ontario,pro-mitigation
Australian Healthcare Workers demand safe Personal Protective Equipment for COVID-19,pro-mitigation
Open Texas Nursing Homes and Assisted Living Centers,unclear
Cancel all further assignments and exams due to instability caused by COVID-19,pro-mitigation
Keep NM Garden Nurseries Open,anti-mitigation
Stop the Suppression and Redirection of Covid-19 Data,anti-mitigation
Signez la lettre pour le retrait de la proposition de loi sur un ordre des psychologues,unclear
Demand California Delay Implementing Cuts to Pharmacies During COVID-19 Pandemic,pro-mitigation
Cancel GEBE bills during lockdown,pro-mitigation
Suspension of rent payments to students during the Coronavirus pandemic.,unclear
Proposal to Make Alberta's Diploma Examinations Voluntary,unclear
..,unclear
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",anti-mitigation
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,anti-mitigation
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",unclear
Lower the amount of work given to KHSD students,unclear
Stop UC Davis From Cutting Financial Aid During a Pandemic,unclear
Get Washington county closed because of Covid-19,pro-mitigation
Restrict Northern BC Work Camps to Essential Operations Only - Covid-19,pro-mitigation
Please Close Philadelphia Public Schools due to Coronavirus/COVID-19! Safety first!,pro-mitigation
Stipend increment of Resident doctors who are working tirelessly to fight COVID19 PANDEMIC,pro-mitigation
COVID-19 Awards,unclear
Animal Charities including Wildlife Rescues deserve government support during Covid-19,pro-mitigation
Pass/Fail Grading Option at Adelphi University in response to COVID-19,pro-mitigation
We Demand Free Internet for ALL Low-Income Families During COVID-19,unclear
"Plea for $1,000,000 for COVID-19 Frontline Workers Families",pro-mitigation
Chandler Unified School District must close schools until Covid-19 no longer is a threat,pro-mitigation
Pharmacy Personnel MUST be included in Gov. Wolf's COVID-19 PA Hazard Pay Grant Program!!!,pro-mitigation
In response to Okan University New payment schedule,unclear
Hazard Pay for Wal-Mart Associates,unclear
Help convince the SUSD that Students & Teachers Need Leniency in Grading during COVID-19.,pro-mitigation
Potential treatment for COVID-19 should not harm Canadians living with lupus,anti-mitigation
Shutdown Imperial county schools,pro-mitigation
Hazard Pay For Transit Workers During Covid 10,pro-mitigation
Lower Tuition at Hope College During Covid-19,unclear
Suspend school/college session until 2021,pro-mitigation
Stop Transport Canada rescinding covid response that allows you to stay in your vehicle,unclear
I want the Covid Testing to be at an affordable price for ALL,pro-mitigation
Partial Reimbursement for University of Connecticut Spring 2020 Semester,unclear
Keep X-rays for Chiropractors for the health benefit of future patients.,unclear
Don't let new immigrants fall through the cracks during covid-19.,pro-mitigation
Strongly Urge All Schools Closure in Edmonton for COVID-19,pro-mitigation
Petition Sokongan kepada Ketua Pengarah KKM Datuk Dr. Noor Hisham Bin Abdullah,unclear
Re-Open US Consulates for General Visa Appointments (Allowing Foreign Nationals to Travel),anti-mitigation
"Covid-19 Minnesota families rent,mortgages, utilities,and monthly Bill's or hardships!",unclear
#ProtectLibraryWorkers & communities: Don't reopen libraries until it's safe,pro-mitigation
Free 3 school teachers held in Italian covid centre for 2months. #FF3,anti-mitigation
"COVID-19 : Give the 320,000 homeless people in the U​.​K. shelter",pro-mitigation
Demand FDA Approval for Emergency Use of Ivermectin for Covid 19 Treatment,pro-mitigation
Act now to save small businesses & start-ups - CBILS not available to so many...,anti-mitigation
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,pro-mitigation
Keep the test,pro-mitigation
"Prisoner's in danger of Covid-19. ""Please Help""
#PrisonersLivesMatterToo",unclear
Postponing the JEE MAINS Examination april 2020 due to COVID-19 outbreak,unclear
UAW Local 2192 calls for covid-19 health and safety actions by Oberlin College,pro-mitigation
NO TO THE DISPLACEMENT OF MARIACHIS AT MARIACHI PLAZA IN BOYLE HEIGHTS!,unclear
Pass all SBISD students for the spring semester,unclear
Transparency for Missouri beef consumers and producers,unclear
NO on SB20-163,unclear
Tertiary Students of JA Appeal to Reduce Tuition 15-20% & Refund Miscellaneous/ Late Fees.,unclear
Stop insurance providers from rejecting doctor-recommended cancer treatment.,unclear
Ban Eating Dogs & Cats in China - Now.,unclear
Esami a distanza garantiti al Politecnico di Milano,unclear
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,pro-mitigation
Hazard Pay for COVID-19 Essential RI Workers,pro-mitigation
Licensure Extension for TLLP due to COVID-19,unclear
