text,label
Putin ahead of the curve. #CovidVaccine https://t.co/eJedkgM04X,unclear
"No #compromise on quality of #COVIDvaccine: CMD

https://t.co/5sLg8aDgqz",anti-mitigation
This goes against CDC guidelines. Vaccinated people don't need to wear masks. Why is LA county anti-science?,pro-mitigation
"#Twitter ;

#sputnik 
Russia state-affiliated #CovidVaccine",unclear
"New CDC school guidelines: No masks required for vaccinated students, teachers  https://t.co/K3fagsv2xL",unclear
So true...just like analysis a few months ago: mandatory #Covid_19 #facemasks is the entry point int… https://t.co/V9oSgYbpYY,unclear
"The people who developed the CDC guidelines, unlike Nate, have public health and epidemiology degrees and they are world-class experts. You are defending a troll who suffers from Dunning Kruger syndrome. He should just stop.",pro-mitigation
"No Known Data on Quality, Efficacy and Safety of #Russian #COVIDVaccine: Germany.

https://t.co/RoMkvbgKMO",unclear
"After a thorough review, and in accordance with CDC guidelines, customers who are fully vaccinated are no longer required to wear masks while visiting our stores unless mandated by state or local regulations.",unclear
"Sadly, I think the only way to protect ourselves from these selfish assholes is to continue to mask and keep to the CDC guidelines we were following last winter.",pro-mitigation
.. and then there are talks on using #Aadhar 'like' model for the roll out of #CovidVaccine (… https://t.co/obRWfNFvju,unclear
"I'm not crazy. I don't like crazy people. I follow the CDC guidelines of ""wearing a mask"" for those that are not vaccinated, such as myself. That doesn't mean I don't care about my life. After several tests (including recently), I have tested ""negative"" for any #COVID19 symptoms.",pro-mitigation
"Go home, you're drunk.

I generally advocate on #CNN's behalf, but c'mon y'all.
#TigerKing #CovidVaccine https://t.co/aYtDpGwIVB",unclear
"WHO in contact with Russia on world's first COVID-19 vaccine 

#COVID19 #COVID #RussianVaccine #CovidVaccine 
https://t.co/OBy016eTlS",unclear
"Dr. Francis Collins, Director of the NIH, in testimony on the search for a #covidvaccine - ""Science is the way this… https://t.co/1e36QPOTS8",unclear
#cdcowgChat “I have a conflict. I receive funding to conduct reviews of opioids. I’ll be recusing myself after the director’s update.” #RogerChou #COIs #CDCGuidelines,unclear
people taking that COVID19 vaccine and then 6 months later the BLM protests gonna look… https://t.co/V5efzri22C,unclear
"Well done Russia and Mr Putin , you are hope of millions of lives that could saved from now till th… https://t.co/d6j19tEec4",pro-mitigation
"A watershed moment in vaccine manufacture ?!- insightful commentary from 
#CovidVaccine #Covid_19 https://t.co/QIJaEltJsT",unclear
"Or he's not vaccinated and following CDC guidelines, as he should.   But you don't have to wear one because you got the jab. 👍",pro-mitigation
Read up on the CDC website for guidelines and recommendations. I think you’re ok to go.,pro-mitigation
"Vaccines can't be given to youngsters unless they've been tested in their age group.

#Covid19 #CovidVaccine… https://t.co/7VFzSoVBW6",anti-mitigation
Not everybody will have the same chance to be immunised. A recent report says that wealthy nations representing jus… https://t.co/tu5eA0VUk5,unclear
"Federal Judge Rules Against CDC, Throws Out Cruise Guidelines In FL   https://t.co/xgMLeuSCDS",pro-mitigation
We're revisiting #biotech company Pharmaceuticals that’s leading the way with a #COVID19 antibody cockta… https://t.co/U1V0BGDZyO,unclear
This article from the same source highlights some of the challenge with the cdc guidelines:  https://t.co/kxQge7mUud,unclear
